,daterep,day,month,year,cases,deaths,countries_and_territories,geoid
310,27/02/2020,27,2,2020,1,0,Australia,AU
311,26/02/2020,26,2,2020,0,0,Australia,AU
312,25/02/2020,25,2,2020,0,0,Australia,AU
313,24/02/2020,24,2,2020,0,0,Australia,AU
314,23/02/2020,23,2,2020,1,0,Australia,AU
315,22/02/2020,22,2,2020,4,0,Australia,AU
316,21/02/2020,21,2,2020,2,0,Australia,AU
317,20/02/2020,20,2,2020,0,0,Australia,AU
318,19/02/2020,19,2,2020,0,0,Australia,AU
319,18/02/2020,18,2,2020,0,0,Australia,AU
320,17/02/2020,17,2,2020,0,0,Australia,AU
321,16/02/2020,16,2,2020,0,0,Australia,AU
322,15/02/2020,15,2,2020,0,0,Australia,AU
323,14/02/2020,14,2,2020,1,0,Australia,AU
324,13/02/2020,13,2,2020,0,0,Australia,AU
325,12/02/2020,12,2,2020,0,0,Australia,AU
326,11/02/2020,11,2,2020,0,0,Australia,AU
327,10/02/2020,10,2,2020,0,0,Australia,AU
328,09/02/2020,9,2,2020,0,0,Australia,AU
329,08/02/2020,8,2,2020,0,0,Australia,AU
330,07/02/2020,7,2,2020,1,0,Australia,AU
331,06/02/2020,6,2,2020,1,0,Australia,AU
332,05/02/2020,5,2,2020,1,0,Australia,AU
333,04/02/2020,4,2,2020,0,0,Australia,AU
334,03/02/2020,3,2,2020,0,0,Australia,AU
335,02/02/2020,2,2,2020,2,0,Australia,AU
336,01/02/2020,1,2,2020,2,0,Australia,AU
337,31/01/2020,31,1,2020,1,0,Australia,AU
338,30/01/2020,30,1,2020,2,0,Australia,AU
339,29/01/2020,29,1,2020,0,0,Australia,AU
340,28/01/2020,28,1,2020,0,0,Australia,AU
341,27/01/2020,27,1,2020,0,0,Australia,AU
342,26/01/2020,26,1,2020,3,0,Australia,AU
343,25/01/2020,25,1,2020,1,0,Australia,AU
344,24/01/2020,24,1,2020,0,0,Australia,AU
345,23/01/2020,23,1,2020,0,0,Australia,AU
346,22/01/2020,22,1,2020,0,0,Australia,AU
347,21/01/2020,21,1,2020,0,0,Australia,AU
348,20/01/2020,20,1,2020,0,0,Australia,AU
349,19/01/2020,19,1,2020,0,0,Australia,AU
350,18/01/2020,18,1,2020,0,0,Australia,AU
351,17/01/2020,17,1,2020,0,0,Australia,AU
352,16/01/2020,16,1,2020,0,0,Australia,AU
